商品标题,价格（元）,单位,产地,供应商,茬数,高度,成交金额,标签
黄韭芽 有需要可以联系我天天有货，主送昆明,10.00,元/公斤,弥勒市,李剑的店,未知茬数,未知高度,0,无标签
弥勒,140.00,元/箱,弥勒市,李剑的店,未知茬数,未知高度,0,无标签
弥勒头茬 50~60cm,6.00,元/斤,弥勒市,李剑的店,头茬,50~60cm,0,无标签
韭菜,5.00,元/斤,佛山,广东韭黄韭菜,未知茬数,未知高度,0,无标签
白旗三茬 50~60cm,5.50,元/斤,普定县,杨梦的店,三茬,50~60cm,0,无标签
大叶头茬 40~50cm,5.50,元/斤,普定县,杨梦的店,头茬,40~50cm,0,无标签
富韭 质量很好，长期供应。,6.00,元/斤,普定县,杨梦的店,未知茬数,未知高度,0,无标签
白旗三茬 30~40公分,6.00,元/斤,普定县,杨梦的店,三茬,30~40公分,0,无标签
，韭芽，不是蒜黄，韭黄基地，可分拣,5.00,元/斤,海安市,南通友余黄金韭基地,未知茬数,未知高度,0,无标签
,3.80,元/斤,普定县,杨梦的店,未知茬数,未知高度,0,无标签
九号 二茬 30~40公分,6.00,元/斤,普定县,杨梦的店,二茬,30~40公分,0,无标签
白旗二茬 40~50cm,5.50,元/斤,普定县,杨梦的店,二茬,40~50cm,0,无标签
弥勒头茬 50~60cm,180.00,元/箱,弥勒市,余春的店,头茬,50~60cm,0,无标签
黄金韭 长年有货，质量好,3.00,元/斤,弥勒市,余春的店,未知茬数,未知高度,0,无标签
云南,6.00,元/斤,弥勒市,余春的店,未知茬数,未知高度,0,无标签
丰县地窖,7.00,元/斤,丰县,同贺家庭农场,未知茬数,未知高度,0,无标签
韭菜苗根韭苔苗根韭菜花苗根,1500.00,元/箱,肇庆,雄记韭菜韭黄韭苔韭菜花苗根店,未知茬数,未知高度,0,无标签
白旗长期,5.00,元/斤,弥勒市,余春的店,未知茬数,未知高度,0,无标签
,2.00,元/斤,海安市,邓永生的店,未知茬数,未知高度,0,无标签
查无信息,4.00,元/斤,海安市,邓永生的店,未知茬数,未知高度,0,无标签
好又鲜黄韭菜 新鲜蔬菜 头茬韭菜 韭菜饺子,20.00,元/斤,雅安,好又鲜蔬菜,头茬,未知高度,0,无标签
云南二茬 40~50cm,9.50,元/斤,弥勒市,俊宏种植,二茬,40~50cm,0,无标签
云南二茬 50~60cm,9.60,元/斤,弥勒市,俊宏种植,二茬,50~60cm,0,无标签
云南头茬 50~60cm,9.80,元/斤,弥勒市,俊宏种植,头茬,50~60cm,0,无标签
精品,9.80,元/斤,弥勒市,俊宏种植,未知茬数,未知高度,0,无标签
查无信息,8.50,元/斤,弥勒市,俊宏种植,未知茬数,未知高度,0,无标签
云南二茬 60~70cm,9.00,元/斤,昆明,银生鲜蔬,二茬,60~70cm,0,无标签
云南基地,3.00,元/斤,弥勒市,银生鲜蔬,未知茬数,未知高度,0,无标签
云南,3.00,元/斤,昆明,银生鲜蔬,未知茬数,未知高度,0,无标签
盆景 黄韭盆景阳台种植露地栽种,3.60,元/斤,南宫市,宁家黄韭盆景韭菜根种植农场,未知茬数,未知高度,0,无标签
云南二茬 60~70cm,8.00,元/斤,弥勒市,银生鲜蔬,二茬,60~70cm,0,无标签
查无信息,6.00,元/斤,成都,银生鲜蔬,未知茬数,未知高度,0,无标签
盆景 黄韭盆景,60.00,元/箱,南宫市,宁家黄韭盆景韭菜根种植农场,未知茬数,未知高度,0,无标签
云南基地,6.00,元/斤,弥勒市,银生鲜蔬,未知茬数,未知高度,0,无标签
黄韭 三茬 70cm以上,7.00,元/斤,弥勒市,银生鲜蔬,三茬,未知高度,0,无标签
云南韭菜,3000.00,元/吨,弥勒市,银生鲜蔬,未知茬数,未知高度,0,无标签
弥勒,5.50,元/斤,弥勒市,小余生鲜农产品批发中心,未知茬数,未知高度,0,无标签
云南,60.00,元/斤,弥勒市,银生鲜蔬,未知茬数,未知高度,0,无标签
精品,9.00,元/斤,石家庄,银生鲜蔬,未知茬数,未知高度,0,无标签
云南,8.00,元/斤,弥勒市,银生鲜蔬,未知茬数,未知高度,0,无标签
云南 弥勒,185.00,元/箱,弥勒市,银生鲜蔬,未知茬数,未知高度,0,无标签
四川,6.00,元/斤,安宁市,银生鲜蔬,未知茬数,未知高度,0,无标签
云南韭菜花,6.00,元/斤,宣威市,银生鲜蔬,未知茬数,未知高度,0,无标签
蒜黄 头茬 50~60cm,4.00,元/斤,遵化市,刘文慧的店,头茬,50~60cm,0,无标签
精品,1600.00,元/吨,弥勒市,银生鲜蔬,未知茬数,未知高度,0,无标签
云南,5.50,元/斤,弥勒市,小余生鲜农产品批发中心,未知茬数,未知高度,0,无标签
韭菜根紫根韭菜根宽叶大叶根 基地直发 根装苗发颗颗发芽,2.80,元/斤,南宫市,韭菜根育苗基地,未知茬数,未知高度,1.6,无标签
普通韭菜根 盆栽韭菜 黄韭盆景,55.00,元/箱,南宫市,韭菜根育苗基地,未知茬数,未知高度,222,无标签
普通紫根 韭菜根 基地直发,2.60,元/斤,南宫市,韭菜根育苗基地,未知茬数,未知高度,0,无标签
盆景 盆栽韭菜 黄韭盆景,85.00,元/箱,南宫市,韭菜根育苗基地,未知茬数,未知高度,0,无标签
精品产地直销货源充足稳定价格优势田间地头装车货发全国,1.00,元/斤,南通,江苏南隆,未知茬数,未知高度,0,无标签
二茬 40~50cm,230.00,元/箱,弥勒市,邢燕玲的店,二茬,40~50cm,0,无标签
原产地发货，批发价，量大从优,3.60,元/斤,佛山,小黄韭黄小铺,未知茬数,未知高度,0,无标签
黄韭根批发，黄韭盆景中盆小盆批发，新黄韭根批发,2.20,元/斤,威县,威县绿岗农场,未知茬数,未知高度,0,无标签
大叶头茬 40~50cm,11.00,元/斤,佛山,廖晓智的店,头茬,40~50cm,0,无标签
黄韭根，韭菜根批发，黄韭盆景批发,2.20,元/斤,威县,威县绿岗农场,未知茬数,未知高度,0,无标签
黄金韭 二茬 30~40公分,7.50,元/斤,普定县,贵州泉粮农业发展有限公司,二茬,30~40公分,0,无标签
威县黄韭盆景中盆小盆批发，黄韭根批发,25.00,元/箱,威县,威县绿岗农场,未知茬数,未知高度,0,无标签
盆景 南宫黄韭盆景基地盆栽韭菜根苗室内庭院四季种植礼品食品蔬菜鲜韭,65.00,元/箱,南宫市,南宫黄韭盆景基地,未知茬数,未知高度,0,无标签
791冬韭 头茬 60~70cm,6.00,元/斤,德阳,周发英的店,头茬,60~70cm,0,无标签
威县黄韭盆景批发，水培韭菜根批发,33.00,元/箱,威县,威县绿岗农场,未知茬数,未知高度,0,无标签
深州头茬黄韭，馨香扑鼻，鲜嫩色美，大量有货，一手货,10.00,元/斤,深州市,韭黄专卖店铺,头茬,未知高度,0,无标签
精品出售,6.00,元/斤,柳州,科多韭黄,未知茬数,未知高度,0,无标签
大量出售黄韭盆景，韭菜根,4.80,元/斤,南宫市,孟令强的农货店,未知茬数,未知高度,0,无标签
，韭菜苔。 二茬 30~40公分,6.00,元/斤,普定县,贵州泉粮农业发展有限公司,二茬,30~40公分,0,无标签
盆景 盆栽韭菜 韭菜根 韭菜籽 韭菜苗,35.00,元/箱,南宫市,韭菜根育苗基地,未知茬数,未知高度,350,无标签
,5.00,元/斤,曲靖,陈柏帆的店,未知茬数,未知高度,0,无标签
查无信息,8.80,元/斤,肇庆,小王子的韭黄店,未知茬数,未知高度,0,无标签
查无信息,3.30,元/斤,弥勒市,王超的店,未知茬数,未知高度,0,无标签
查无信息,4.50,元/斤,佛山,甘海燕的店,未知茬数,未知高度,0,无标签
盆景  12斤头茬一级黄韭盆景,50.00,元/箱,南宫市,梦杰韭菜根批发,头茬,未知高度,0,无标签
查无信息,4.00,元/斤,佛山,甘海燕的店,未知茬数,未知高度,0,无标签
盆景 南宫特产黄韭盆景盆栽韭菜根苗健康食品蔬菜礼品阳台客厅庭院四季,65.00,元/箱,南宫市,南宫黄韭盆景基地,未知茬数,未知高度,0,无标签
普通头茬 30~40公分,5.50,元/斤,佛山,廖晓智的店,头茬,30~40公分,0,无标签
黄金韭 头茬 20~30cm,5.00,元/斤,曲靖,陈柏帆的店,头茬,20~30cm,0,无标签
黄金韭 基地直销，确保货源,6.50,元/斤,德阳,周发英的店,未知茬数,未知高度,0,无标签
精品,5.00,元/斤,苏州,施国兰的店,未知茬数,未知高度,0,无标签
韭红,2000.00,元/吨,纳雍县,黄军幺,未知茬数,未知高度,0,无标签
查无信息,5.50,元/斤,佛山,宏富蔬菜批发部,未知茬数,未知高度,0,无标签
弥勒虹溪镇40亩基地转让,46.00,元/箱,弥勒市,喜花花开心农产品,未知茬数,未知高度,0,无标签
九号 头茬 30~40公分,7.50,元/斤,佛山,何飞的店,头茬,30~40公分,0,无标签
精品太白大量上市,5.00,元/斤,潍坊,刘莉莉的店,未知茬数,未知高度,0,无标签
791冬韭 承诺风雨不改，准时发货。辛苦的付出，只为你对我们产品的肯定！,6.00,元/斤,德阳,周发英的店,未知茬数,未知高度,0,无标签
查无信息,260.00,元/箱,弥勒市,鑫磊农业,未知茬数,未知高度,0,无标签
黄韭盆景,55.00,元/箱,南宫市,孟令强的农货店,未知茬数,未知高度,0,无标签
（靓）,6.00,元/斤,佛山,宏富蔬菜批发部,未知茬数,未知高度,0,无标签
广西精品新鲜种植 货量充足,5.00,元/斤,藤县,广西藤县韭黄种植基地,未知茬数,未知高度,0,无标签
,400.00,元/箱,佛山,严国洋的农货店,未知茬数,未知高度,0,无标签
,4.50,元/斤,苏州,施国兰的店,未知茬数,未知高度,0,无标签
两百棚以就绪，有兴趣的老板联系,10000.00,元/吨,曲靖,小高农业,未知茬数,未知高度,0,无标签
韭菜，,200.00,元/箱,佛山,广东鸿亮韭菜韭黄基地,未知茬数,未知高度,0,无标签
云南干各个等级都有 可以定制长短,7.80,元/斤,昆明,小黄的蔬菜店,未知茬数,未知高度,0,无标签
,4.00,元/斤,太仓市,施国兰的店,未知茬数,未知高度,0,无标签
云南,3.00,元/斤,弥勒市,日新农业精品韭黄,未知茬数,未知高度,0,无标签
精品，黄金韭，可以分拣，大量现货,8.50,元/斤,上海,黄金韭,未知茬数,未知高度,0,无标签
,7.00,元/斤,佛山,严国洋的农货店,未知茬数,未知高度,0,无标签
,8.50,元/斤,贵阳,陈梦春,未知茬数,未知高度,0,无标签
查无信息,5.00,元/斤,佛山,甘海燕的店,未知茬数,未知高度,0,无标签
弥勒手工好，质量好，品质好，而且新鲜！！！！,145.00,元/箱,弥勒市,赵福保的店,未知茬数,未知高度,0,无标签
查无信息,9.00,元/斤,曲靖,运辉韭黄,未知茬数,未知高度,0,无标签
精品贵州,200.00,元/箱,南京,贵州精品韭黄专卖,未知茬数,未知高度,0,无标签
查无信息,6.00,元/斤,柳州,科多韭黄,未知茬数,未知高度,0,无标签
精品,3.00,元/斤,靖江市,余金兰的店,未知茬数,未知高度,0,无标签
云南高原,260.00,元/箱,弥勒市,云南高原韭黄,未知茬数,未知高度,0,无标签
黄韭盆景，放厨房，放饭店都行，不用土，不施肥，浇水就涨！,45.00,元/箱,安平县,精品小白嘴山药,未知茬数,未知高度,0,无标签
千亩产地直供,2.00,元/斤,成都,千亩种植户,未知茬数,未知高度,0,无标签
查无信息,3.50,元/斤,藤县,藤县欧记蔬菜种植场,未知茬数,未知高度,0,无标签
查无信息,6.00,元/斤,简阳市,成都东部新区海螺镇力量村股份,未知茬数,未知高度,0,无标签
韭牙上市了,5.00,元/斤,南通,林哈哈韭黄暴富生产基地,未知茬数,未知高度,0,无标签
弥勒头茬 50~60cm,6.00,元/斤,弥勒市,李树芬的店,头茬,50~60cm,0,无标签
打包发货,1.00,元/斤,佛山,李海锋的店,未知茬数,未知高度,0,无标签
精品短韭芽15~25cm,7.77,元/斤,常熟市,王红星的店,未知茬数,未知高度,0,无标签
，大叶韭黄一年四季常年供应欢迎来电洽谈！,3.00,元/斤,佛山,李金留的店,未知茬数,未知高度,0,无标签
深州黄韭,9.00,元/斤,深州市,张根水的店,未知茬数,未知高度,0,无标签
常年提供优质和韭菜,180.00,元/箱,弥勒市,刘仁华的农货店,未知茬数,未知高度,0,无标签
盆景  南宫黄韭,88.00,元/箱,南宫市,硕博农产品,未知茬数,未知高度,0,无标签
黄韭盆景，韭菜盆景，韭菜根,45.00,元/箱,南宫市,晏兆晟的店,未知茬数,未知高度,0,无标签
盆景 20~30cm 头茬,45.00,元/箱,南宫市,翟平生的店,头茬,20~30cm,0,无标签
黄金韭 二茬 40~50cm,4.00,元/斤,佛山,李积彬,二茬,40~50cm,0,无标签
日本种韭王 头茬 30~40公分,5.00,元/斤,中山市,肖学军的店,头茬,30~40公分,0,无标签
大量出售山东寿光，只卖头茬自家种植的，有需要采购的联系我,6.50,元/斤,寿光市,张春海的小店,头茬,未知高度,0,无标签
云南韭黄价格不一样看货定价,10000.00,元/吨,弥勒市,赵兵的店,未知茬数,未知高度,0,无标签
二茬 50~60cm,6.00,元/斤,泸西县,周小瑞的店,二茬,50~60cm,0,无标签
精品，本人批发，代客收发，如有需要的老板可以精诚合作,6.00,元/斤,佛山,文成林,未知茬数,未知高度,0,无标签
精品,4.00,元/斤,如皋市,开丽的农货店,未知茬数,未知高度,0,无标签
,0.90,元/斤,遂平县,刘怀伟的店,未知茬数,未知高度,0,无标签
,4.50,元/斤,南宁,周新健,未知茬数,未知高度,0,无标签
精品，保质保量，常年供货不断。欢迎各位老板订购。,200.00,元/箱,太仓市,李选的店,未知茬数,未知高度,0,无标签
查无信息,6.30,元/斤,嘉兴,小黄蔬菜配送,未知茬数,未知高度,0,无标签
盆景 头茬 20~30cm,60.00,元/箱,南宫市,董庆军的店,头茬,20~30cm,0,无标签
三茬 30~40公分,4.00,元/斤,肇庆,邓啊飞,三茬,30~40公分,0,无标签
精品，大量供应，常年供货不断。,2.00,元/斤,太仓市,李选的店,未知茬数,未知高度,0,无标签
黄金韭 头茬 40~50cm,9.90,元/斤,丰县,孙建雷的店,头茬,40~50cm,0,无标签
九号 头茬 40~50cm,9.00,元/斤,佛山,严星华的店,头茬,40~50cm,0,无标签
贵州,280.00,元/箱,太仓市,贵州韭黄,未知茬数,未知高度,0,无标签
查无信息,165.00,元/箱,弥勒市,云南精品韭黄,未知茬数,未知高度,0,无标签
大叶二茬 30~40公分,5.50,元/斤,丰县,薛红震的店,二茬,30~40公分,0,无标签
黄金韭 二茬 30~40公分,1.20,元/斤,萧县,鲁传化的店,二茬,30~40公分,0,无标签
,165.00,元/箱,弥勒市,毕自强的店,未知茬数,未知高度,0,无标签
查无信息,7.00,元/斤,中江县,基地韭黄直销,未知茬数,未知高度,0,无标签
常年供应绿韭，,3.00,元/斤,石林县,王俊的店,未知茬数,未知高度,0,无标签
精品！长期合作！长期供应！,3.00,元/斤,如皋市,李东的店,未知茬数,未知高度,0,无标签
广东量大从优,4.00,元/斤,佛山,志业基地农货店,未知茬数,未知高度,0,无标签
精品,8.00,元/斤,弥勒市,小啊黎生鲜,未知茬数,未知高度,0,无标签
九号  精,2.60,元/公斤,杭州,王玉良的店,未知茬数,未知高度,0,无标签
头刀上市，价格优惠，长期合作,4.00,元/斤,平湖市,袁志国的店,未知茬数,未知高度,0,无标签
大量优质。。,2.50,元/斤,佛山,伍乐的店,未知茬数,未知高度,0,无标签
大叶三茬 30~40公分,6.20,元/斤,普定县,贵州特色韭黄,三茬,30~40公分,0,无标签
大叶，韭菜,6.20,元/斤,佛山,文成林的店,未知茬数,未知高度,0,无标签
云南玉溪优质,6.00,元/斤,玉溪,大头农货店,未知茬数,未知高度,0,无标签
盆景 南宫黄韭根，黄韭盆景,3.00,元/斤,南宫市,胡长学的店,未知茬数,未知高度,45,无标签
,5.00,元/斤,佛山,伍乐的店,未知茬数,未知高度,0,无标签
四季号 头茬 40~50cm,2.30,元/斤,安顺,曾家华的店,头茬,40~50cm,0,无标签
,5.50,元/斤,弥勒市,毕自强的店,未知茬数,未知高度,0,无标签
二茬靓,3.50,元/斤,佛山,廖鹏的店,二茬,未知高度,0,无标签
,6.00,元/斤,弥勒市,薛爱国的店,未知茬数,未知高度,0,无标签
大叶头茬 30~40公分,10.00,元/斤,深州市,安乐天的店,头茬,30~40公分,0,无标签
大叶全年供货,9.00,元/斤,佛山,汪洪亮的店,未知茬数,未知高度,0,无标签
盆景 优质产品保证安全,60.00,元/箱,南宫市,白玉强的店,未知茬数,未知高度,0,无标签
云南·红河·弥勒（，长寿仁，西葫芦，本地水晶葡萄……）,10.00,元/公斤,弥勒市,袁芳的店,未知茬数,未知高度,0,无标签
短韭芽批发，产地直供,7.77,元/斤,常熟市,王红星的店,未知茬数,未知高度,0,无标签
优质高产秧,6.00,元/斤,个旧市,张进的店,未知茬数,未知高度,0,无标签
九黄广州韭黄,6.00,元/斤,广州,汪双轮的店,未知茬数,未知高度,0,无标签
黄韭 二茬 40~45cm,5.00,元/斤,佛山,李积彬的店,二茬,未知高度,0,无标签
长年销售，产地直发，量大从优,2.00,元/斤,太仓市,余金兰的店,未知茬数,未知高度,0,无标签
，贵州广东自产自销。常年供应。量大从优,2.50,元/斤,淮安,余金兰的店,未知茬数,未知高度,0,无标签
精品短，10斤一袋装。,9.98,元/斤,南通,洪俊生的店,未知茬数,未知高度,0,无标签
弥勒头茬 60~70cm,9.00,元/斤,乐至县,赵雄美的店,头茬,60~70cm,0,无标签
，大叶韭黄,5.00,元/斤,佛山,蒋豪的店,未知茬数,未知高度,0,无标签
黄韭 头茬 20cm以下,45.00,元/箱,南宫市,王之贺的店,头茬,未知高度,0,无标签
白旗头茬 50~60cm,5.50,元/斤,普定县,钟志敏的店,头茬,50~60cm,0,无标签
白旗头茬 30~40公分,7.00,元/斤,兰州,金建鹏的店,头茬,30~40公分,0,无标签
天然,5.00,元/斤,湄潭县,专业韭黄,未知茬数,未知高度,0,无标签
查无信息,4.00,元/斤,许昌,黄俊朋的店,未知茬数,未知高度,0,无标签
临洮土头茬 40~50cm,8.00,元/斤,临洮县,潘新军的店,头茬,40~50cm,0,无标签
盆景 头茬 20~30cm,45.00,元/箱,南宫市,张博亮的店,头茬,20~30cm,0,无标签
万亩韭菜大量上货。专业代办。量大量大。,0.60,元/斤,河津市,高振红的店,未知茬数,未知高度,0,无标签
自产自销的，价格优惠，欢迎下单,4.50,元/斤,肇庆,刘许贵的店,未知茬数,未知高度,0,无标签
,4.80,元/斤,普定县,毛家万的店,未知茬数,未知高度,0,无标签
黄韭 头茬 20cm以下,40.00,元/箱,南宫市,关继萌的店,头茬,未知高度,0,无标签
盆景 头茬 30~40公分,5.00,元/斤,南宫市,杜卫华的店,头茬,30~40公分,0,无标签
云南弥勒,245.00,元/箱,弥勒市,黄建东的店,未知茬数,未知高度,0,无标签
贵州精品自产自销 无中间商赚差价,3.00,元/斤,太仓市,李选的店,未知茬数,未知高度,0,无标签
云南弥勒,235.00,元/箱,弥勒市,黄建东的店,未知茬数,未知高度,0,无标签
，低价批发,2.00,元/斤,普定县,杨力的店,未知茬数,未知高度,0,无标签
精品,6.20,元/斤,佛山,文成林的店,未知茬数,未知高度,0,无标签
精品切点头和尾 长度35到40公分 柠檬黄 无纤维,7.50,元/斤,普定县,吴忠元的店,未知茬数,未知高度,0,无标签
黄韭盆景，当年新根，生茬地，根子壮，出菜多，,55.00,元/箱,南宫市,益农农产品,未知茬数,未知高度,0,无标签
二号 二茬 40~50cm,9000.00,元/吨,普定县,代兴虎的店,二茬,40~50cm,0,无标签
普通韭黄30～40公分,3.00,元/斤,佛山,李金留的店,未知茬数,未知高度,0,无标签
甘肃大量有货 需要的联系我,10.00,元/斤,临洮县,盛旺蔬菜批发,未知茬数,未知高度,0,无标签
弥勒二茬 50~60cm,4.00,元/斤,中江县,凌鹏的店,二茬,50~60cm,0,无标签
精品大量供应,2.00,元/斤,太仓市,李选的店,未知茬数,未知高度,0,无标签
二茬 50~60cm,270.00,元/箱,弥勒市,戚永政的店,二茬,50~60cm,0,无标签
查无信息,200.00,元/箱,弥勒市,毕自强的店,未知茬数,未知高度,0,无标签
精品太仓本地，大量上市，量大从优,3.20,元/斤,太仓市,李猛的店,未知茬数,未知高度,0,无标签
深州黄韭欢迎订购,10.00,元/斤,深州市,张根水的店,未知茬数,未知高度,0,无标签
二茬 60~70cm,5.00,元/斤,资阳,曾华勇的店,二茬,60~70cm,0,无标签
九黄广东韭黄精品,4.80,元/斤,佛山,汪双轮的店,未知茬数,未知高度,0,无标签
查无信息,4.00,元/斤,肇庆,周勋华的店,未知茬数,未知高度,0,无标签
南宫特产，黄韭盆景,46.00,元/箱,南宫市,刘兴旺的农货店,未知茬数,未知高度,0,无标签
大叶头茬 50~60cm,8.00,元/斤,成都,徐洪全的店,头茬,50~60cm,0,无标签
头茬 30~40公分,8.50,元/斤,佛山,文京城的店,头茬,30~40公分,0,无标签
白旗二茬,4.80,元/斤,普定县,毛家万的店,二茬,未知高度,0,无标签
优质,3.00,元/斤,茶陵县,陈平的店,未知茬数,未知高度,0,无标签
,4.50,元/斤,佛山,陈世发的店,未知茬数,未知高度,0,无标签
白旗头茬 30~40公分,6.00,元/斤,普定县,杨海林的店,头茬,30~40公分,0,无标签
精品,13.00,元/斤,佛山,黄伟平的农货店,未知茬数,未知高度,0,无标签
中江三茬 40~50cm,4.00,元/斤,中江县,凌鹏的店,三茬,40~50cm,0,无标签
普通二茬 30~40公分,6.20,元/斤,佛山,文成林的店,二茬,30~40公分,0,无标签
云南新鲜,3.00,元/斤,弥勒市,新天合蔬菜批发中心,未知茬数,未知高度,0,无标签
弥勒二茬 60~70cm,6.00,元/斤,弥勒市,陈志猛的店,二茬,60~70cm,0,无标签
新品种--黄金韭F1,140.00,元/袋,扶沟县,韭优种业的店铺,未知茬数,未知高度,0,无标签
盆景  南宫特产黄韭盆景，天然绿色，营养健康,48.00,元/箱,新河县,鑫绿源黄韭盆景,未知茬数,未知高度,0,无标签
,7.00,元/斤,弥勒市,李雪松的店,未知茬数,未知高度,0,无标签
,9.00,元/斤,揭阳,佘赵煌的店,未知茬数,未知高度,0,无标签
成都市郫都区基地，纯手工干撕韭黄，出售韭黄,6.00,元/斤,成都,代磊的店,未知茬数,未知高度,0,无标签
,4.50,元/斤,佛山,蒋豪的店,未知茬数,未知高度,0,无标签
云南高原,20.00,元/斤,弥勒市,昇裕农业,未知茬数,未知高度,0,无标签
航空冷链+冰袋+泡沫箱打包发货,29.80,元/斤,普定县,黄成燕的店,未知茬数,未知高度,0,无标签
九黄精品韭黄四季供应量大,3.50,元/斤,云浮,汪双轮的店,未知茬数,未知高度,0,无标签
查无信息,12.50,元/斤,海安市,汤灶友余韭黄,未知茬数,未知高度,0,无标签
广东精品四季供货,4.00,元/斤,广州,陈玲的店,未知茬数,未知高度,0,无标签
精品,10.20,元/斤,佛山,黄伟平的农货店,未知茬数,未知高度,0,无标签
普定,4.80,元/斤,普定县,毛家万,未知茬数,未知高度,0,无标签
全年不间断供货,5.00,元/斤,烟台,彩虹新农自产自销店,未知茬数,未知高度,0,无标签
黄金韭 一年两季，无污染绿色食品，纯手工加工让你吃到绿色放心的蔬菜,11.00,元/公斤,普定县,杨浪的店,未知茬数,未知高度,0,无标签
出售,5.00,元/斤,都匀市,赵琼芬的店,未知茬数,未知高度,0,无标签
精品太仓本地,3.00,元/斤,太仓市,李猛的店,未知茬数,未知高度,0,无标签
叶片宽，又长又粗又好看，颜色漂亮,1000.00,元/吨,弥勒市,小李韭黄销售中心,未知茬数,未知高度,0,无标签
、韭菜,10.00,元/斤,肇庆,小宝种植园,未知茬数,未知高度,0,无标签
云南二茬 40~50cm,6.00,元/斤,弥勒市,陈志猛的店,二茬,40~50cm,0,无标签
弥勒老品种秧苗,11.00,元/斤,开远市,马松磊的店,未知茬数,未知高度,0,无标签
云南精品,150.00,元/箱,弥勒市,杨正洪的店,未知茬数,未知高度,0,无标签
长期供应优质,5.00,元/斤,茶陵县,陈平的店,未知茬数,未知高度,0,无标签
盆景 头茬 20~30cm,40.00,元/箱,南宫市,关继萌的店,头茬,20~30cm,0,无标签
广州精品大叶,5.80,元/斤,广州,汪双轮的店,未知茬数,未知高度,0,无标签
本地精品,4.00,元/斤,柳州,汪双轮的店,未知茬数,未知高度,0,无标签
提供长年优质,8.00,元/斤,弥勒市,刘仁华的农货店,未知茬数,未知高度,0,无标签
无公害黄韭盆景 头茬 20~30cm,80.00,元/箱,北京,邢金强的店,头茬,20~30cm,0,无标签
供应,4.00,元/箱,弥勒市,李东旭的店,未知茬数,未知高度,0,无标签
新鲜上市了有需要的及时联系我,6.00,元/斤,普定县,王尚建的店,未知茬数,未知高度,0,无标签
云南,240.00,元/箱,弥勒市,赵波的店,未知茬数,未知高度,0,无标签
头茬 60~70cm,5.00,元/斤,资阳,曾华勇的店,头茬,60~70cm,0,无标签
精品,9.00,元/斤,佛山,文成林的店,未知茬数,未知高度,0,无标签
黄韭盆景，当年新根，生茬地，根足，出菜多，欢迎咨询,55.00,元/箱,南宫市,益农农产品,未知茬数,未知高度,0,无标签
云南弥勒直销,200.00,元/箱,弥勒市,赵玺的店,未知茬数,未知高度,0,无标签
