"price","area","bedrooms","age","location"
86.6,144.5,4,20,"C"
58.7,83.2,2,43,"A"
95.7,104.4,2,23,"B"
32.3,98.9,2,36,"C"
111.7,140.6,4,9,"C"
104.8,136.4,3,5,"B"
74.7,58,1,4,"B"
67,85,2,3,"C"
51.9,84.6,3,24,"B"
99.8,119.1,3,17,"B"
80,154.5,4,28,"C"
140.7,186.3,3,36,"A"
115.8,133.2,4,27,"B"
101.5,151.3,4,30,"A"
71.6,123.8,3,16,"C"
46,82,2,24,"B"
63.6,131.2,3,41,"B"
116,114,3,19,"A"
109.3,154.6,3,20,"A"
39.7,103.1,3,49,"C"
51.3,85.9,2,6,"B"
39.1,81.2,1,19,"C"
122.9,153.7,4,29,"A"
103.8,99,2,35,"A"
98.1,119.1,4,7,"C"
111.2,101.3,3,13,"A"
48.2,65.1,1,32,"B"
145.4,177.1,5,39,"A"
102.7,135.9,5,16,"B"
62.5,112.1,3,42,"C"
115,147.2,4,6,"C"
75.9,112,3,29,"C"
101.2,110.1,2,3,"A"
47.8,80.9,2,24,"B"
54.5,114.1,2,50,"B"
137,98.7,2,8,"A"
81.7,120.9,3,43,"A"
50.4,87.8,2,2,"C"
30,87.2,2,48,"C"
57.3,102.9,2,1,"B"
83.9,135.6,3,29,"B"
54.9,90.9,2,36,"C"
110.1,124,3,14,"C"
90.9,100.5,2,17,"B"
56.3,121.1,3,48,"B"
102.9,170.7,4,28,"C"
80.3,94.7,3,23,"B"
88.2,84,2,20,"B"
76.7,135.8,4,39,"B"
60.7,129.8,3,46,"B"
94.5,111,3,10,"C"
102.8,136.6,3,2,"C"
85,82.6,2,7,"C"
41,96.1,3,16,"C"
121,172.3,5,27,"B"
80,145.9,4,44,"B"
108.4,141.9,3,42,"A"
104.7,172.1,4,34,"B"
66.3,124.2,4,13,"B"
96.3,146.2,3,46,"B"
84.1,151.5,3,46,"C"
42.7,85.9,3,38,"B"
84.3,118.7,3,29,"A"
148.9,191.8,5,21,"A"
95.2,157.3,4,43,"B"
69.7,97,3,25,"B"
30,40,2,48,"C"
60.7,129.9,3,38,"C"
73.2,110.8,3,18,"B"
94.4,98.6,2,10,"A"
68.5,128.8,3,15,"C"
93.9,172.2,5,47,"B"
80.1,119.9,3,40,"B"
60.4,119.9,3,28,"B"
101.7,166.9,5,39,"A"
47.5,108.6,2,39,"B"
83.2,101,3,10,"C"
79.6,124.1,3,28,"C"
68.2,68.2,2,14,"C"
85,156.7,4,25,"B"
131.1,185.9,4,5,"B"
65.5,108.9,3,47,"B"
112.3,147.8,4,28,"B"
70.2,105.3,3,15,"C"
124.9,126.2,3,11,"A"
95.6,131.9,3,21,"B"
80,154.7,3,20,"B"
79.2,157.3,4,43,"B"
85.4,125,3,45,"B"
112.1,141.5,4,32,"A"
77.4,108.6,2,16,"A"
125.6,140.9,3,2,"A"
81.5,127.6,3,3,"C"
110.9,140.1,4,43,"A"
77.2,100.1,4,26,"C"
65.2,108.7,3,15,"B"
96.2,142.6,3,27,"B"
85.6,149.9,4,26,"C"
86.7,109.2,3,39,"B"
61.5,99.9,2,9,"C"
114.7,134.4,3,9,"B"
74.2,102.3,2,16,"B"
69.6,88.6,2,2,"B"
101.8,136.7,4,15,"B"
95.1,152,4,39,"B"
107.4,158.6,4,5,"C"
85.2,137.5,3,20,"C"
80.8,157.9,4,29,"B"
82.2,134.7,4,38,"A"
130,188.9,5,2,"C"
72.1,65.6,1,10,"B"
63.3,120.1,3,35,"B"
83.6,134.3,4,22,"B"
73.5,96.7,2,31,"A"
86.4,126.2,3,23,"B"
112.4,150.7,4,11,"B"
34.1,89.7,2,46,"B"
91.5,97.4,2,10,"C"
56.8,124.3,3,26,"C"
120.6,146.4,4,15,"B"
102.7,132.9,4,48,"C"
44.4,99.3,2,43,"A"
102.2,136.8,3,46,"A"
85.1,103.1,3,50,"A"
61.4,40,1,24,"A"
120.5,139.3,4,18,"A"
99.5,132,3,3,"B"
83.1,141,3,24,"B"
60.7,135.7,4,29,"C"
54.5,102.1,3,15,"C"
117.9,152.4,4,46,"A"
79.2,100.4,3,28,"B"
129.7,164.9,4,10,"B"
85.3,124,3,25,"B"
101.8,117.8,3,5,"A"
113.3,120.8,3,13,"A"
81.2,127.2,4,18,"B"
83.5,117.5,3,42,"C"
99.9,133.8,4,48,"A"
93.5,112.3,3,17,"C"
103.5,138.5,3,12,"B"
129.4,160.4,3,6,"B"
78.6,140.3,4,29,"C"
86.8,113.4,2,16,"C"
113.9,108.8,3,25,"A"
65.2,119,2,47,"B"
44.4,122.6,3,48,"B"
89,118.1,3,17,"B"
74,104.5,3,14,"B"
78.9,122.3,4,24,"B"
63.6,92.5,2,28,"B"
71.4,126.5,3,30,"B"
112.5,152.8,3,3,"C"
119.7,160.9,4,23,"B"
81.6,154,4,39,"C"
90.5,92.7,2,24,"A"
136.9,176.7,4,26,"A"
56.5,103.1,2,22,"B"
66.2,127.7,3,37,"C"
54.6,86.3,3,47,"B"
110.5,124.6,3,8,"C"
107.6,171.9,4,37,"B"
90.6,125.2,3,15,"B"
74.5,150.8,5,41,"B"
58.2,111.7,3,40,"B"
98.6,128.2,4,9,"B"
83,72.8,2,0,"B"
54.2,124.4,3,46,"B"
81.4,115.2,3,38,"A"
92.8,136.6,3,16,"B"
70.7,85.5,3,42,"A"
77.6,112.8,2,31,"B"
55.3,109.7,3,48,"B"
103.2,135.9,2,20,"A"
87.5,97.3,2,17,"A"
38.1,43.8,1,30,"B"
78.9,138.3,3,20,"A"
59.4,106.4,2,43,"B"
61.9,141.9,4,45,"B"
123.2,136.2,2,10,"B"
82.6,147.8,4,48,"B"
84.7,146.8,3,45,"B"
60.7,114.6,3,9,"B"
78.1,79.7,2,22,"B"
86.4,95.6,2,39,"A"
100.1,137.1,3,13,"B"
89.2,120.9,3,28,"A"
52.6,101.4,2,36,"B"
72.8,72.4,1,46,"A"
68.6,91.9,3,22,"C"
103.1,116.4,3,7,"B"
96.1,139.9,4,16,"C"
51,127.2,4,48,"C"
135.8,160.9,4,6,"A"
83.5,126.7,3,28,"C"
91.4,138.3,4,31,"A"
77.7,108.2,2,13,"B"
48,96.6,2,49,"B"
97.8,121.9,3,39,"A"
92.5,152.9,4,3,"C"
99.7,196,5,46,"C"
101.2,99.3,3,5,"C"
71.6,144.1,3,22,"B"
71.1,169.7,5,45,"B"
64.9,107.5,3,19,"C"
88.6,130.1,3,32,"C"
91.3,141.2,5,32,"B"
103.8,159.4,4,4,"B"
93,83.1,3,13,"A"
80,81.8,2,29,"A"
79.5,124.1,4,20,"B"
84.3,141.3,3,17,"B"
95.8,101,2,16,"B"
81.6,110.5,3,39,"A"
111.6,152,4,27,"B"
116.5,167.8,4,16,"B"
106,133.5,4,22,"A"
68.8,116.8,2,46,"B"
88.8,141.5,3,10,"C"
91.1,125.4,3,21,"A"
115.6,159.6,5,23,"B"
149.1,131.7,3,15,"A"
30,79.9,2,24,"C"
40,71.7,2,28,"B"
30,93.9,2,45,"C"
141.3,207.9,5,27,"B"
77.4,107.4,3,47,"B"
111.2,118.8,3,20,"B"
107.2,121.1,3,26,"A"
97.6,151.3,3,15,"B"
82,100.8,2,4,"C"
71.8,87.9,2,32,"A"
58.8,126,3,48,"C"
110.2,131.6,3,37,"C"
97.1,99.6,3,8,"B"
126.3,199.7,5,25,"B"
130.1,115.1,3,24,"A"
100.4,89.3,2,27,"A"
73.1,140.6,3,41,"C"
63.6,61.4,1,5,"B"
96.5,109.1,2,16,"B"
61,122.5,3,24,"C"
89.3,101.3,2,5,"B"
109.2,160.2,4,0,"C"
31.1,105.7,3,47,"C"
87.1,153.9,3,22,"B"
74.7,74.5,2,26,"B"
88.5,161.1,4,33,"B"
68.8,57.7,1,4,"B"
68.6,120.3,4,44,"C"
105.6,133.3,3,7,"C"
37.1,100.4,2,46,"C"
30,72.3,3,31,"C"
124.9,129.8,4,34,"A"
100.9,121.1,2,6,"C"
106.4,141.7,4,15,"C"
112.9,165.4,5,28,"C"
34,85.5,3,44,"C"
107.4,134.4,4,6,"B"
58.4,85.6,3,41,"B"
136.1,158.9,4,21,"B"
83,107.7,3,36,"C"
125.1,143.9,4,10,"C"
92.8,141.7,4,23,"A"
60.4,97.3,2,2,"C"
57.6,58.8,1,43,"B"
84.8,104.7,3,23,"A"
73.2,141.9,4,40,"B"
93.8,144.5,3,32,"C"
128.9,155.2,4,11,"B"
96.1,86.9,2,2,"B"
69.8,112.6,2,35,"B"
132.3,136.5,3,3,"A"
60.8,97.5,2,50,"C"
59.9,100.4,3,25,"C"
72.9,133.3,4,22,"C"
51.9,104.1,2,44,"C"
85.8,125.1,4,16,"B"
41,123.5,3,16,"C"
116,137.7,3,35,"A"
61.6,98.7,2,29,"C"
96.9,172.3,5,45,"B"
53.9,107.3,3,5,"C"
71.5,107.6,3,6,"C"
82.9,115.5,2,37,"B"
83.6,121.5,4,46,"A"
82.7,116.1,4,35,"B"
104.6,113.7,3,27,"B"
97,106.1,3,23,"A"
110.7,189.8,5,25,"C"
36.9,94.7,2,44,"C"
75.5,125.2,4,42,"C"
91.8,112.7,2,43,"A"
89.2,127.9,3,18,"B"
108.1,120.9,3,8,"A"
97.5,165.8,4,44,"B"
79.8,131.7,4,36,"C"
54.1,71.6,2,37,"B"
108.6,144.6,4,10,"B"
62.3,116,3,45,"A"
73.8,156.2,4,50,"B"
65.3,120.4,3,24,"B"
100.1,142.3,4,2,"C"
108.5,146.8,3,22,"B"
40.8,85.7,2,48,"B"
91.2,162.6,5,6,"C"
92.7,136.6,2,50,"A"
64,107.6,3,8,"A"
48.6,115.2,4,42,"C"
72.1,79.5,3,24,"B"
100.2,114.5,3,8,"B"
164.6,180,5,7,"A"
134.6,143.7,3,6,"B"
73.8,125.7,2,39,"B"
86.1,95.1,2,8,"C"
104.1,148.7,4,3,"C"
38.7,58.2,1,27,"B"
83.9,127.4,3,43,"A"
100.3,116.9,3,4,"B"
100.5,129.7,3,8,"C"
91.9,141.1,4,19,"B"
109.7,161.9,4,16,"C"
53.1,122.3,3,33,"C"
136.5,144.6,3,8,"C"
90.1,142,4,46,"C"
104.8,142.2,4,27,"A"
93.1,122.3,3,35,"A"
36.6,87.6,2,37,"B"
30,95.9,3,34,"C"
42.9,73.2,2,35,"B"
117.9,138.3,4,4,"C"
53.7,68.5,2,35,"B"
86.5,167.3,4,40,"B"
67.6,116.9,3,38,"B"
46.9,107,3,36,"B"
78.1,145.6,3,15,"C"
76.6,111.2,3,43,"B"
136.8,163.8,3,23,"A"
60.9,78.5,2,39,"A"
115.6,144.2,4,50,"A"
67.9,162.5,5,35,"C"
115.5,183,4,34,"B"
115.6,163.3,5,24,"B"
76.6,149.4,3,40,"C"
59.7,92.5,3,29,"B"
93.7,149.8,5,17,"B"
111.1,149.6,4,13,"B"
60.5,71.1,2,4,"C"
77.7,93.2,2,40,"B"
110.8,102.3,2,7,"A"
134.3,119.6,3,20,"A"
48.4,101.5,2,49,"B"
84.9,166.9,5,35,"B"
58.8,113.6,2,31,"B"
75.9,106.6,2,13,"C"
72.7,136.8,4,8,"B"
94.5,108,3,35,"B"
70.3,83.3,2,17,"B"
102.4,104.3,3,33,"A"
64.9,125.7,3,21,"B"
130.1,107.7,3,2,"A"
76.8,86.2,3,48,"A"
122.1,146.8,4,9,"A"
59,94.3,1,29,"C"
49.2,52,2,31,"A"
96.3,143,3,31,"B"
78.4,148.9,3,17,"C"
74.9,134.1,4,22,"A"
97.9,142.1,3,41,"A"
61.9,83.7,2,31,"C"
68.5,156.9,4,22,"C"
81.9,139.6,4,37,"B"
108.4,139.1,3,1,"C"
113,136.1,4,27,"A"
94.4,155.4,3,14,"B"
30,72.9,2,23,"C"
76.6,118.7,3,21,"B"
97.2,124.1,3,29,"B"
121.2,158.9,4,36,"A"
102.7,175.5,3,26,"B"
73.5,102.4,2,25,"B"
104.3,143.2,4,9,"C"
75.1,113.7,3,22,"B"
80.9,110.5,2,17,"B"
70.3,118.8,3,39,"B"
90.7,113.5,3,12,"B"
81.7,118.9,3,18,"B"
111.1,118.2,3,10,"B"
52.2,97.9,3,39,"B"
125.2,103.7,2,3,"A"
100,139.8,2,33,"B"
65.5,129.2,3,48,"C"
98.2,102,3,15,"A"
69.7,99.2,2,33,"A"
80.6,137.6,3,29,"B"
60.7,93.3,2,40,"C"
96.8,130.4,3,34,"B"
54.7,113,3,38,"B"
102.8,127.1,2,38,"B"
71.1,105.3,2,11,"B"
83,150,4,14,"B"
57.3,119.4,3,23,"B"
58.2,116,3,32,"B"
97.5,131.6,3,6,"C"
102.8,113.9,2,2,"B"
80.4,94.5,3,2,"C"
86.5,124.3,4,13,"B"
62.9,102.1,2,26,"C"
102.9,148.4,3,30,"C"
55.8,74.4,1,31,"B"
89.2,136.6,4,15,"B"
