"purchase","age","income","pages_visited","time_on_site","membership_years"
1,42,34.9,10,11.9,6.2
1,50,45,7,7.6,3.1
1,41,97.2,8,10.7,7.4
1,63,98.7,10,18.1,3.6
0,18,15.5,13,9.9,2.4
1,35,31,11,14.1,4.7
0,41,84.2,7,1.5,2.4
1,26,50.8,9,21.2,4.1
0,37,30.5,13,9.4,0.2
1,47,41.9,13,23.6,3.8
1,23,28.9,9,10.5,0.2
1,26,54.3,12,20.5,5.6
0,37,40.9,14,4.4,0.4
1,46,68.5,9,7.3,6.3
1,40,69.9,12,9.3,4.4
1,27,42.4,11,8.6,4.3
1,42,43.6,14,18,1.5
1,28,58,7,12.1,2.1
1,18,63.8,10,7.5,2.8
1,43,95.6,8,8.2,5.3
1,40,45.9,9,23.6,0.4
1,43,50.2,9,15.3,6.8
1,41,100,6,12.3,4.4
1,28,68.4,1,20.9,5.2
1,48,60.6,8,18.2,7.6
0,27,76.5,15,7.2,0.8
1,53,26.7,8,18.3,3.8
1,37,40.1,6,15.1,5.4
0,34,54.3,8,3.3,0
1,35,32.2,14,2.4,6.9
1,38,79.2,8,12.3,2.1
1,34,75.2,10,14.5,7.9
1,41,81.9,19,8,7.1
0,32,76.9,13,4.9,0.1
1,42,51.7,12,5.8,7.5
1,51,29.5,14,16.8,0.5
1,43,81.7,8,6.9,4.4
1,32,21.5,12,19.9,2.8
1,31,57.8,6,11.8,7.6
1,35,15,2,6.9,7.7
1,36,46,6,12.2,6.2
1,34,82,16,10,6.1
1,29,65.4,13,11.6,3.1
1,36,97.4,16,9.3,3.1
1,24,24.8,6,22.5,6.6
1,38,51.7,9,16,0.8
1,48,22.3,10,24.7,1.5
1,51,76.1,9,16.1,0.6
0,49,39,11,7.4,3.3
1,24,23.5,8,2.5,0.1
1,58,57,13,17.6,5.1
1,28,50.2,8,5.9,2.2
1,38,46.6,5,21.4,0.2
1,22,81,17,20.9,4.7
1,37,44.7,15,10.5,4.7
1,56,49.6,8,14.4,6
1,37,70.9,21,18.9,4.1
1,47,103.2,13,15.1,1.4
1,32,54.2,12,14.4,5.7
1,38,82.6,13,7.6,5.8
1,18,45,18,15.6,6.5
1,37,52.5,11,4.5,4.5
0,33,59,11,4.6,4.4
0,42,25.1,10,2.1,2.2
1,21,114.1,7,1.8,4.9
1,32,30.2,12,13.9,8
1,31,51.2,13,4.6,2.6
1,41,15,7,16.3,6.6
0,26,49.8,11,5.6,3.3
1,18,15,9,24.4,1.8
1,42,35.1,10,13.8,3.6
1,30,45.9,7,22.5,4.8
1,44,61.7,7,13.3,5.9
1,41,15,14,4.4,6.9
1,46,48.2,8,3.1,2.7
1,46,43,11,13.3,3.8
1,33,73.5,7,18.6,6
1,19,44.8,15,19.8,0.6
1,25,54.5,8,4.4,0.9
1,42,46.1,11,16.3,2.7
1,35,76.9,11,13.8,2.2
1,28,25.2,13,16.5,1.2
1,18,27.8,13,22.3,7.7
0,24,67.8,4,8.7,3
1,34,72.7,9,20.4,7
1,43,58.7,13,15.7,6.9
1,38,89.6,2,6,2.1
1,51,50.8,7,9.5,5.2
1,38,40.9,10,19.9,6.3
1,42,61.7,16,4.7,2.4
1,30,31.5,16,24.9,7.5
1,26,15,17,5.4,3.8
1,36,54.9,8,1.2,4.7
1,48,68.8,15,19.3,6.2
1,65,47.9,11,20.1,2.2
1,27,70.2,6,19.9,0.7
1,45,36.2,9,15.4,0.7
1,55,94.1,11,21.7,5.8
1,30,66.7,8,23.5,4.3
1,39,31.8,10,3.6,3.3
1,43,132,9,15.1,3.4
1,51,80.7,8,19.3,6.8
1,20,83.6,3,12.7,4.3
1,20,33.7,8,24.1,7.6
1,37,84.5,15,20.8,4.8
1,44,50.4,16,11.1,3.3
1,27,50.1,15,17.4,2.5
1,31,82.6,12,19.2,5.1
1,48,44.8,10,22.6,1.9
1,54,23.3,7,7,3.2
1,40,84.4,15,4,0.1
1,34,27.9,8,14.5,2.6
1,44,41.5,11,20.3,2.7
1,37,61.3,8,21.4,1.6
1,51,90.9,10,24.6,1
1,40,40.3,9,15.9,1.7
1,19,79.6,6,20.6,4
0,18,48.5,10,13.2,6.4
1,25,27.3,12,9.2,4.4
1,70,57.6,7,13.1,4.2
1,30,51.8,13,20.6,5.8
1,35,67.5,8,15.8,7.2
1,35,28.7,12,6.6,3.6
1,48,37.6,9,5.7,3.1
1,27,51.3,8,19,7.2
1,22,30.6,6,8.2,3.3
1,37,41.9,12,21.5,4.2
1,40,52.7,8,14.1,6.8
1,27,70.8,7,21.2,0.5
1,67,38.7,15,2.4,4.4
1,33,85.3,15,9,7
1,23,47.7,8,8.2,6.3
1,43,49.6,12,11.2,6.1
1,18,26.5,7,24.9,6.4
1,31,29.3,15,2.2,2.4
1,36,60.6,15,15.4,3.9
1,28,21.9,8,15.2,5.8
1,51,50.9,9,7.9,2.9
1,29,76.5,12,12.4,0.2
1,49,33.1,6,22.6,6.7
1,18,63.9,10,21.6,7.1
1,51,41.7,12,5.5,6.1
1,18,22.4,4,12.7,4.9
1,35,86.4,12,14,2.4
1,40,32.2,17,2.9,6.5
1,27,15,8,23,5.6
1,18,108.8,13,12.6,5.1
1,39,109.7,6,21.4,3.2
1,35,15,1,12,7.8
1,44,79.1,8,17.7,2.5
1,53,95.6,13,24.4,1.5
1,21,83.7,12,15.6,7.8
1,41,67.1,7,23.3,0.5
1,21,114.4,18,5.8,6.9
1,51,32.4,9,7.6,6.2
1,30,63.3,8,7.1,1.2
1,45,55.8,5,15,1.8
1,44,96.4,15,18.8,0.2
1,26,46,7,11.1,4.8
1,18,15,13,23.9,6.3
1,29,66,8,4.4,3.8
1,44,93.3,7,14.4,6.1
0,45,35.1,6,4.8,1.5
1,49,46,10,21.6,5
1,22,42.8,12,12.7,5.2
1,32,26.6,9,5.2,4.7
1,42,19.8,10,7.6,6.6
1,26,39.5,7,11.8,2.3
1,27,60.7,14,10.4,5.7
1,40,65.1,11,6.8,7
1,29,46.4,18,8.8,3.8
1,37,83.8,10,20.5,3
1,36,52.2,7,2.3,3
0,42,36.5,12,6.7,0.5
1,26,55.9,10,6.9,3.5
1,56,82.4,6,12.9,6.6
0,30,73,14,1.1,1.7
1,30,50,11,17,1.8
1,33,33.8,12,7.5,0.5
1,36,95.4,4,19.4,2.3
1,33,107.1,7,4.5,6.4
1,32,39.6,14,13.2,4.4
1,29,61.1,12,3.6,0.4
1,63,55.2,16,7.4,2.2
1,25,39.5,9,10.7,2.9
1,37,75.4,10,1.7,7.1
1,32,15,5,11.9,3.3
0,38,45.4,4,7.2,3.9
1,35,60.7,9,2.1,1.8
1,53,71.4,14,18.9,1.9
1,40,69.5,5,8.9,3.6
1,18,66.6,13,17.7,7.5
1,45,90.7,7,23.2,0.2
1,33,71.1,9,11.8,1.5
1,49,78.3,4,14.5,2.5
1,35,44.9,9,12.3,7.8
1,44,91.2,9,22.6,4.4
1,46,41.6,19,11.4,4.7
1,21,29.1,9,23.2,4.1
1,52,79.9,6,5.4,7.1
1,42,15,8,1.1,4.5
0,30,58.5,9,3.1,2.3
1,33,112.3,10,8.9,7
1,19,86.8,17,7.7,0.3
0,33,55.9,12,1.9,0.2
1,59,66.8,8,11.3,7.3
1,44,40.2,9,11.9,4.4
1,37,15.4,9,15.2,2.6
1,25,60.3,8,16.3,2.6
1,46,79.8,15,18.7,2.3
1,18,55,8,12.1,0.1
1,38,38.4,10,7.2,7.2
1,34,49.1,9,24.5,2.7
1,39,55.9,7,19.2,4.7
1,43,102.8,12,17.5,6.3
1,52,52.9,14,6.7,3.9
1,36,49,11,23.1,3.6
1,45,25.1,11,11.5,0.6
1,44,70.7,16,8.1,2.1
1,44,52.8,6,20.3,6.1
0,36,36.9,12,2.6,5.4
1,22,70.5,7,18.1,7.5
1,25,60.3,6,15.7,3.4
1,18,55.4,8,13.7,4.5
1,42,65,13,9.3,3.7
1,18,59.7,7,11.8,3.6
1,54,70,6,5.9,5.5
1,34,80.1,13,24.2,6.5
1,30,56.7,13,7.3,1
1,45,42.1,18,7.5,1.6
1,31,45.4,9,22.3,1.1
1,53,15,11,14.2,6.5
1,18,75.4,16,17.5,0
1,45,79.2,8,23.3,3.6
1,52,93.2,3,23.1,6.9
1,60,38.7,11,16.8,0.3
1,52,82.8,5,11.6,7.8
1,47,23.3,15,10.7,0.5
0,24,77,12,17.6,2.6
1,47,109.5,13,10.2,0.3
1,47,59.9,8,10,6.1
1,18,88.8,6,9.5,7.7
1,24,59.5,4,2.1,7.9
1,28,33.8,12,7.5,2.6
1,35,37.9,17,19.3,7.7
1,28,33.6,13,14.2,0.4
1,54,86.4,11,14.4,0.5
1,32,32.3,13,17.8,2.3
1,30,46,9,6.6,5
1,42,64.4,6,3.5,6.3
1,30,86.2,8,2,6.9
0,20,53.8,14,3.4,4.6
1,29,65,13,11,5.3
1,37,31,10,15.2,6.1
1,30,70.2,12,3.2,8
1,21,96.9,9,16.9,4.7
1,46,91.8,8,5,3.3
1,25,15,11,17.5,7.6
1,18,69.9,10,12.9,7.6
1,44,37,7,19,6.3
1,47,15.5,13,19.1,6.3
0,41,64.3,14,3.2,3.3
1,44,50.5,11,23,7.5
1,20,56.5,11,16.8,2
1,50,79.5,13,7.4,5.3
1,43,81.3,8,14.5,6.2
1,43,34.7,9,16.7,7.7
0,41,73.2,12,18.5,2.5
1,49,15,8,7.4,1
1,18,43.2,11,19.1,4.5
1,34,46.4,13,16.6,1.5
1,37,46.2,9,19.4,5.4
1,51,64,8,16.7,6.1
1,57,15,6,15,6
1,28,15,9,4.3,1.8
1,44,79.6,16,3.5,1.6
1,32,40.8,7,1.4,7.6
1,31,28.3,13,23.3,5.7
1,35,48.2,15,15,7.3
1,32,67.8,8,3.4,7.1
0,35,60.4,14,3.1,5
1,34,61.1,19,21.6,3.3
1,26,84,13,13.5,4.4
1,28,34,9,6.8,5.9
1,43,15,11,16.1,6.4
1,39,20.3,13,5.4,6.1
1,28,60.6,12,7.6,5.3
1,27,46.5,7,2,2.5
1,42,15,9,15,7.7
1,24,21.4,14,14.6,6.1
1,39,63,13,4.2,0.7
1,32,55.9,10,14.5,2.2
1,38,15,6,6.7,4.9
1,29,33,8,23.6,3.2
1,47,46.9,11,6.1,1.2
1,35,31.5,4,10.5,1.2
1,33,75.1,10,9.2,1.5
1,40,46.8,10,15.4,4
1,33,25.1,10,24.9,0.7
1,25,69.4,7,15.8,4.8
1,37,81.3,11,17.7,4.9
1,28,15,2,3,3.3
1,46,43.8,3,19.2,1.6
1,18,19.5,10,8.1,0.7
1,42,74.3,14,6.3,2.7
