"churn","tenure","monthly_charges","total_charges","contract_type"
"Yes",32,129.9,4363.2,"One year"
"Yes",12,23.3,300.5,"Month-to-month"
"Yes",2,109.8,213.1,"One year"
"No",37,66.5,2251.4,"Month-to-month"
"Yes",13,118.3,1546.9,"Month-to-month"
"No",9,89.3,741.2,"One year"
"Yes",55,100,5401.8,"Month-to-month"
"No",61,54.6,3528.7,"Month-to-month"
"Yes",13,88.9,1143.7,"Month-to-month"
"No",58,138.3,7270,"Month-to-month"
"No",58,26.5,1679.7,"Month-to-month"
"Yes",4,61.1,229,"Two year"
"Yes",45,85.7,3972.3,"Month-to-month"
"Yes",41,133.2,5773,"Month-to-month"
"No",29,38.4,1109.7,"One year"
"No",63,28.4,1813.9,"One year"
"No",52,106.3,5850.7,"Month-to-month"
"Yes",31,138.9,4353,"Month-to-month"
"Yes",59,91.5,5343.4,"One year"
"No",29,22.5,608.9,"Month-to-month"
"No",46,52.7,2510,"Month-to-month"
"No",29,85.4,2706.9,"Two year"
"Yes",2,77,147.6,"Month-to-month"
"No",57,107.2,6637.9,"Month-to-month"
"No",42,129.2,5612.4,"Two year"
"Yes",9,53.4,481.1,"Month-to-month"
"Yes",67,98.7,6938.9,"One year"
"Yes",22,27.3,553.6,"Two year"
"No",54,78.2,4006.5,"One year"
"Yes",18,101.7,1679.3,"Two year"
"No",72,82,5699.9,"Month-to-month"
"Yes",55,86.8,4951.1,"Month-to-month"
"No",54,54,2967.2,"Month-to-month"
"No",51,119.5,5961.7,"Two year"
"Yes",10,28.4,256.5,"Month-to-month"
"Yes",2,141.5,276,"Two year"
"Yes",3,60.9,176.5,"Month-to-month"
"Yes",10,36.2,352.5,"Two year"
"Yes",7,90.5,616.5,"Month-to-month"
"Yes",9,108.9,1064.7,"One year"
"Yes",4,44.8,163.4,"One year"
"No",36,36.4,1361.8,"Two year"
"Yes",35,141.8,4947.9,"Two year"
"No",63,137.3,8441,"Month-to-month"
"No",66,24,1554.9,"Two year"
"No",71,64.4,4119.6,"One year"
"Yes",3,98.5,269.1,"Two year"
"Yes",49,122.3,6473.6,"One year"
"Yes",10,36.5,379.6,"Month-to-month"
"No",61,119.5,7620.4,"Two year"
"Yes",4,31.6,134.8,"Month-to-month"
"No",40,49.2,1988.4,"Month-to-month"
"Yes",30,63.4,1969.9,"One year"
"Yes",8,22.7,184.7,"Month-to-month"
"No",60,57.7,3771.2,"Month-to-month"
"No",47,59.7,2638.3,"One year"
"No",64,131.8,9083.7,"Month-to-month"
"Yes",31,119.7,3677.5,"Two year"
"No",34,75,2531.3,"Month-to-month"
"Yes",63,123,7002,"Month-to-month"
"Yes",33,33.4,1071,"Month-to-month"
"Yes",21,134.4,2802.9,"Month-to-month"
"No",58,48.6,2812.9,"Month-to-month"
"Yes",10,37.6,361.7,"Month-to-month"
"Yes",11,112,1337.2,"Month-to-month"
"Yes",8,72.4,533.7,"Month-to-month"
"No",41,48.1,1806.6,"One year"
"No",63,112.1,7604.7,"Month-to-month"
"No",36,148,5553,"Month-to-month"
"No",18,49.5,847.7,"Month-to-month"
"No",62,39,2373.4,"Month-to-month"
"Yes",36,53.4,2093.3,"One year"
"Yes",69,119.6,8365.5,"One year"
"No",20,107.2,2222.9,"One year"
"No",35,105.6,3957.7,"Month-to-month"
"Yes",3,58.8,165.6,"Month-to-month"
"Yes",14,41.7,538,"Month-to-month"
"No",70,93.8,6974.9,"Two year"
"Yes",21,130.9,2547,"Two year"
"Yes",51,91,5094.3,"Month-to-month"
"No",67,28.5,1966.6,"Two year"
"No",29,113.9,3316.3,"Month-to-month"
"Yes",11,84.5,885.7,"Month-to-month"
"No",59,51,3043.2,"One year"
"No",68,39.6,2667.8,"Month-to-month"
"No",29,144.7,4441.9,"Two year"
"Yes",4,36.3,134.5,"Month-to-month"
"Yes",27,63.6,1594.1,"One year"
"Yes",30,84.7,2490.8,"Month-to-month"
"Yes",8,64.2,499.9,"Month-to-month"
"Yes",11,122.4,1345,"Month-to-month"
"No",31,77.3,2266.9,"Month-to-month"
"No",59,76.2,4380.3,"One year"
"Yes",18,87.5,1550.2,"Two year"
"Yes",57,104.9,5678.1,"Month-to-month"
"No",37,78.3,3077.2,"Two year"
"Yes",11,95.5,1061,"Two year"
"Yes",11,74.2,798.1,"Month-to-month"
"No",37,29.5,995.4,"Two year"
"No",11,61.8,628.7,"One year"
"Yes",30,84,2623.1,"Month-to-month"
"Yes",21,148.7,3083.2,"One year"
"Yes",22,29.4,693,"One year"
"No",51,46,2316.2,"Month-to-month"
"Yes",1,117,110.4,"One year"
"No",13,94,1120.4,"One year"
"Yes",5,120.9,606.7,"Month-to-month"
"Yes",40,72.4,2697.8,"Month-to-month"
"No",52,89.5,4518.4,"One year"
"No",19,98.6,1703.3,"Month-to-month"
"No",42,148.8,6502.7,"Month-to-month"
"No",38,86.6,3205.3,"One year"
"No",15,81.5,1129.6,"Month-to-month"
"No",69,141.8,9216.7,"One year"
"No",71,77.4,5948.2,"One year"
"No",15,104.7,1693.3,"One year"
"Yes",7,31.7,232.8,"One year"
"No",9,26.9,224.4,"One year"
"Yes",5,22.7,118.6,"Month-to-month"
"No",51,123.2,6606.6,"Two year"
"Yes",34,82,2576,"Month-to-month"
"No",46,78.2,3649.6,"One year"
"Yes",9,93.2,882.7,"One year"
"Yes",28,135.2,4103.8,"Two year"
"No",71,146.1,10467.7,"Two year"
"No",51,85.7,4123.1,"Month-to-month"
"No",43,144.2,5915.2,"Two year"
"No",9,120.3,1041,"Two year"
"No",41,34.3,1353,"One year"
"Yes",16,125.9,2118.4,"Month-to-month"
"No",27,68.5,1966.2,"Two year"
"Yes",69,36.4,2650.6,"Month-to-month"
"No",71,103.6,7987.7,"Month-to-month"
"No",58,139.9,8238.1,"Two year"
"Yes",4,32.2,138.4,"Month-to-month"
"Yes",56,112.2,5776.3,"Month-to-month"
"No",62,97.4,6344.3,"Month-to-month"
"No",69,64.1,4134.3,"One year"
"No",53,66,3436.8,"Two year"
"No",40,76.7,3361.1,"Two year"
"Yes",28,100,3040,"Month-to-month"
"No",58,31.5,1758,"Two year"
"No",53,48.9,2642.2,"Month-to-month"
"No",62,75.6,4237.8,"One year"
"Yes",14,46.4,622,"Month-to-month"
"Yes",10,147,1569.2,"One year"
"No",46,43,1918.2,"Two year"
"Yes",35,122,4015.4,"Month-to-month"
"Yes",51,48.7,2685.6,"Month-to-month"
"No",71,94.8,6516.5,"Month-to-month"
"Yes",8,91.9,737.6,"Month-to-month"
"No",64,46.4,2904.9,"One year"
"No",44,77,3354,"Month-to-month"
"Yes",17,128,2267.4,"Two year"
"No",60,43.5,2541.6,"One year"
"No",1,22.6,24.2,"One year"
"No",20,58.7,1238.1,"One year"
"Yes",46,97.6,4271.7,"Month-to-month"
"Yes",26,84.1,2265.8,"Month-to-month"
"Yes",28,79.6,2173.7,"Month-to-month"
"Yes",5,86.7,442.7,"Month-to-month"
"Yes",18,101.4,1798.1,"One year"
"No",71,86.5,6673.7,"Two year"
"No",45,118.7,5353,"Two year"
"No",4,63.2,255.3,"Month-to-month"
"No",69,139.5,10053.4,"Month-to-month"
"No",47,85.1,3796.5,"One year"
"Yes",36,89,3065.1,"Month-to-month"
"No",66,50.7,3024.8,"One year"
"No",36,123.2,4487.6,"Month-to-month"
"No",29,55.1,1588.4,"Month-to-month"
"No",68,119.9,8647,"One year"
"No",69,46.7,3210.3,"Month-to-month"
"Yes",26,120.1,2839.2,"Month-to-month"
"No",15,43.6,605,"One year"
"No",20,89,1850.6,"Month-to-month"
"No",70,93.6,6742.9,"Month-to-month"
"No",40,38.2,1447.4,"One year"
"No",52,56.5,2899.6,"One year"
"No",4,47.4,201.1,"One year"
"Yes",39,48.8,1872.9,"Month-to-month"
"No",64,27.7,1764,"One year"
"No",65,83.2,5047.1,"Month-to-month"
"No",71,114.8,7896.1,"One year"
"No",66,98.1,5829.4,"Two year"
"No",26,25.6,691.1,"One year"
"Yes",44,69.3,2797.9,"Two year"
"Yes",59,142.5,8317.3,"One year"
"No",66,127.7,8252.9,"Month-to-month"
"No",23,79.7,1794.8,"Two year"
"No",29,99.5,2713.4,"Month-to-month"
"No",42,63.2,2507.1,"One year"
"No",28,70.3,1785.4,"Month-to-month"
"Yes",47,124.4,5653.3,"Month-to-month"
"No",39,108,4432,"Month-to-month"
"No",63,70,4131.6,"Month-to-month"
"No",39,35.6,1435.6,"Two year"
"No",64,140.6,8973.5,"Month-to-month"
"No",56,67.3,3645,"Month-to-month"
"Yes",41,30.8,1257.2,"One year"
"Yes",17,100.9,1861,"Two year"
"No",55,122.7,7047.2,"Two year"
"Yes",60,90.9,5066.1,"Month-to-month"
"No",26,139.8,3329.9,"Two year"
"No",51,132.4,6603.7,"Month-to-month"
"No",55,147.7,8039.3,"Month-to-month"
"No",6,133.4,822.7,"Month-to-month"
"No",44,140.3,6411.7,"Two year"
"No",49,67.4,3613.3,"Month-to-month"
"Yes",54,128.8,7118.5,"Month-to-month"
"Yes",59,101.9,6531.1,"Two year"
"Yes",19,43.4,906.8,"Two year"
"Yes",42,72.4,2885.4,"One year"
"No",26,129.1,3501,"Two year"
"No",50,71.9,3517.9,"One year"
"No",56,129,7090.7,"One year"
"No",66,144.6,8634.6,"Two year"
"No",61,26.7,1707.4,"Two year"
"No",3,48.8,146.3,"Month-to-month"
"Yes",27,44.1,1194.4,"One year"
"No",46,99.4,4892.4,"One year"
"Yes",19,56,1018.4,"Month-to-month"
"Yes",5,60.9,281.9,"One year"
"Yes",50,84.3,3895.6,"Month-to-month"
"Yes",12,99.2,1290.5,"One year"
"Yes",21,55,1124.4,"Month-to-month"
"No",23,127.6,2790,"Month-to-month"
"Yes",12,142.3,1673.7,"Two year"
"No",50,96.7,5237.8,"One year"
"No",51,73.9,3991.9,"Month-to-month"
"Yes",31,80.7,2282.8,"Month-to-month"
"No",62,62.7,4151,"Month-to-month"
"Yes",46,115.3,4806.4,"One year"
"No",65,112.6,7730.7,"One year"
"Yes",28,88.5,2472.9,"Month-to-month"
"No",52,64.8,3174.3,"Two year"
"Yes",13,78,953.8,"Month-to-month"
"No",65,34.3,2160,"Month-to-month"
"Yes",10,138.1,1398.2,"Month-to-month"
"No",50,59.1,3223.4,"One year"
"Yes",63,50.9,3397.4,"One year"
"No",71,94.7,7342,"Month-to-month"
"No",65,73.6,4352.6,"One year"
"No",3,64.3,175.8,"One year"
"Yes",55,97.1,5602.3,"Month-to-month"
"No",37,36.9,1274.7,"Two year"
"No",64,80.7,4935.6,"Two year"
"No",49,125.8,6631,"Two year"
"No",71,83,6041.1,"Month-to-month"
"Yes",17,45.5,763.1,"Month-to-month"
"Yes",5,110.5,583.6,"Month-to-month"
"No",42,21.5,842.2,"One year"
"No",41,96.7,4000.2,"Month-to-month"
"No",61,121.2,7098.3,"Month-to-month"
"Yes",55,122.1,6974.9,"Month-to-month"
"Yes",12,128.2,1430.3,"Month-to-month"
"No",30,21.4,637.2,"One year"
"No",17,108.5,1840.5,"One year"
"Yes",35,57.8,1988.1,"One year"
"Yes",41,120,4710.3,"Month-to-month"
"Yes",58,75.1,4149.7,"Month-to-month"
"No",59,34.7,2131.6,"One year"
"No",29,29.5,874.8,"One year"
"Yes",48,135.8,6811.1,"Two year"
"Yes",6,23.4,135.9,"Month-to-month"
"Yes",18,116.6,2018,"Two year"
"No",71,135.6,9673.9,"Month-to-month"
"No",52,115.9,5814.2,"Month-to-month"
"No",59,38.7,2335.1,"Two year"
"No",21,111.6,2366,"One year"
"No",71,80.1,5571.2,"One year"
"Yes",1,134.5,138.2,"Month-to-month"
"No",23,131.6,2821.5,"Two year"
"No",54,27.5,1618,"Month-to-month"
"No",71,90.4,6239.2,"Two year"
"No",48,82.8,3861.4,"Month-to-month"
"No",18,21.2,385.5,"Two year"
"No",55,92.1,4988.7,"Month-to-month"
"Yes",45,102.8,4276.4,"Month-to-month"
"Yes",51,137.4,7657.8,"One year"
"No",66,37.4,2272.8,"One year"
"Yes",21,145.8,3187.1,"Month-to-month"
"Yes",66,71.3,4973.6,"Month-to-month"
"No",62,56.3,3552.5,"Month-to-month"
"No",40,94.2,3826.3,"One year"
"No",19,121.5,2449.4,"Two year"
"No",35,45.6,1467.9,"Month-to-month"
"No",67,74.3,4608.6,"Month-to-month"
"Yes",18,58.6,1062.4,"Month-to-month"
"Yes",40,68.9,2632.6,"Month-to-month"
"No",64,61.7,3947.2,"Month-to-month"
"Yes",34,82.9,2812.3,"Month-to-month"
"No",34,59.2,1825.9,"One year"
"No",37,73.9,2559.8,"One year"
"No",11,64.1,723.5,"Two year"
"No",43,83.1,3811.8,"One year"
"No",55,84.4,4893.5,"Month-to-month"
"Yes",34,81.8,2942.8,"One year"
"Yes",21,22.5,455.2,"Month-to-month"
"No",49,50,2626,"Two year"
"Yes",31,90.6,3010.6,"Month-to-month"
"No",29,58.2,1792.3,"Month-to-month"
"No",51,55.9,2622.4,"One year"
"No",53,116.8,6125.6,"Month-to-month"
"No",58,90.2,4765,"One year"
"No",66,100.6,6179.5,"Month-to-month"
"Yes",20,148.1,3254.7,"One year"
"No",54,55.6,3217,"One year"
"No",27,136.8,3832.3,"Two year"
"No",30,51.7,1423.9,"Month-to-month"
"No",25,97,2527.7,"Month-to-month"
"No",26,113.7,2982.1,"Month-to-month"
"No",45,109.3,4554.7,"One year"
"Yes",36,44.2,1448.5,"Month-to-month"
"No",2,23.8,44,"One year"
"No",39,102.7,3892.1,"One year"
"No",6,148.8,948.4,"One year"
"No",35,73.1,2742.8,"One year"
"No",19,128.6,2457.8,"Two year"
"Yes",23,97.1,2305.4,"Month-to-month"
"No",18,108.4,1956.3,"Month-to-month"
"Yes",39,60.5,2574.2,"Month-to-month"
"No",52,62,3227,"Month-to-month"
"Yes",14,129.3,1670.2,"Month-to-month"
"No",60,144.1,8124.3,"One year"
"No",43,84,3573.5,"Month-to-month"
"Yes",57,131.3,7799.3,"Month-to-month"
"No",62,78.1,4450.4,"One year"
"Yes",28,106.9,3009.8,"One year"
"No",66,104.5,7311.4,"Month-to-month"
"Yes",10,73.7,725.2,"Month-to-month"
"No",63,74.4,4463.2,"Month-to-month"
"No",35,28.1,1046.3,"One year"
"Yes",14,45.6,587.8,"One year"
"Yes",32,116,3457.3,"Month-to-month"
"No",70,92.5,6517.2,"Two year"
"No",66,112.5,7767,"Month-to-month"
"Yes",21,55.8,1153.8,"Month-to-month"
"No",57,104,5981,"Month-to-month"
"No",44,127.7,5470.7,"Month-to-month"
"No",62,88.4,5021.5,"Month-to-month"
"No",10,28.3,302.9,"Month-to-month"
"Yes",62,112.3,7505.5,"Month-to-month"
"Yes",41,112.4,4461.6,"One year"
"No",58,105.3,5902.9,"One year"
